symbol,timestamp,entry,direction,tp_40_hit,tp_60_hit,tp_80_hit,tp_100_hit
LISTAUSDT,2024-10-30 15:26:06+00:00,0.4127,Short,False,False,False,False
1000000MOGUSDT,2024-11-01 20:14:14+00:00,1.9123,Short,False,False,False,False
MYROUSDT,2024-11-02 16:47:55+00:00,0.08979,Short,False,False,False,False
LISTAUSDT,2024-11-03 20:28:10+00:00,0.3231,Short,True,True,True,True
1000000MOGUSDT,2024-11-04 18:31:16+00:00,1.747,Short,False,False,False,False
1000000MOGUSDT,2024-11-11 09:47:49+00:00,1.9401,Short,False,False,False,False
MYROUSDT,2024-11-12 20:22:38+00:00,0.1049,Long,False,False,False,False
BANANAUSDT,2024-11-14 17:40:49+00:00,55.212,Short,False,False,False,False
1000000MOGUSDT,2024-11-18 15:43:27+00:00,2.404,Short,False,False,False,False
MYROUSDT,2024-11-18 20:19:06+00:00,0.1364,Short,False,False,False,False
JTOUSDT,2024-11-24 15:21:07+00:00,3.72,Long,False,False,False,False
JTOUSDT,2024-11-25 16:44:28+00:00,3.612,Short,False,False,False,False
LISTAUSDT,2024-11-28 18:36:35+00:00,0.5393,Short,False,False,False,False
LISTAUSDT,2024-11-30 16:00:38+00:00,0.5421,Short,False,False,False,False
MYROUSDT,2024-11-30 19:52:40+00:00,0.1187,Long,False,False,False,False
BANANAUSDT,2024-12-11 19:47:50+00:00,55.339,Short,False,False,False,False
LISTAUSDT,2024-12-15 13:16:59+00:00,0.5191,Long,False,False,False,False
JTOUSDT,2024-12-17 19:11:51+00:00,3.501,Long,False,False,False,False
LISTAUSDT,2024-12-18 17:53:14+00:00,0.5023,Short,False,False,False,False
LISTAUSDT,2024-12-23 16:58:29+00:00,0.4782,Long,False,False,False,False
1000000MOGUSDT,2025-01-04 14:43:59+00:00,2.4944,Long,False,False,False,False
BANANAUSDT,2025-01-04 19:07:28+00:00,44.962,Short,False,False,False,False
1000000MOGUSDT,2025-01-18 19:03:14+00:00,1.6383,Short,False,False,False,False
JTOUSDT,2025-01-19 13:55:45+00:00,3.331,Long,False,False,False,False
1000000MOGUSDT,2025-01-20 12:36:31+00:00,1.6148,Short,False,False,False,False
1000000MOGUSDT,2025-01-31 18:29:48+00:00,1.3677,Short,True,True,True,True
BANANAUSDT,2025-02-12 19:20:02+00:00,26.561,Long,False,False,False,False
LISTAUSDT,2025-02-12 19:51:17+00:00,0.327,Long,False,False,False,False
1000RATSUSDT,2025-02-26 19:54:33+00:00,0.02619,Long,True,True,True,False
MYROUSDT,2025-03-02 11:44:31+00:00,0.02182,Long,True,True,True,True
1000RATSUSDT,2025-03-06 12:59:14+00:00,0.03567,Long,False,False,False,False
1000PEPEUSDT,2025-03-16 20:29:04+00:00,0.006509,Short,True,True,True,True
1000RATSUSDT,2025-03-18 19:00:17+00:00,0.02586,Long,True,True,True,True
LISTAUSDT,2025-03-21 18:56:58+00:00,0.1966,Long,True,True,True,True
BANANAUSDT,2025-03-29 13:01:24+00:00,19.204,Short,True,True,True,True
1000000MOGUSDT,2025-04-07 17:19:38+00:00,0.3411,Long,True,True,True,True
MYROUSDT,2025-04-11 17:59:56+00:00,0.0129,Long,True,True,True,True
LISTAUSDT,2025-04-13 17:06:10+00:00,0.169,Long,True,True,True,True
1000000MOGUSDT,2025-04-14 12:03:20+00:00,0.5071,Long,True,True,True,True
LISTAUSDT,2025-04-14 17:58:06+00:00,0.1919,Long,True,True,True,True
1000RATSUSDT,2025-04-17 20:34:08+00:00,0.02352,Short,True,True,True,True
MYROUSDT,2025-04-26 16:29:42+00:00,0.02749,Long,True,True,True,True
1000000MOGUSDT,2025-05-15 14:43:22+00:00,1.023,Short,True,True,True,True
1000RATSUSDT,2025-05-17 15:48:45+00:00,0.02524,Long,True,True,True,True
